0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212
1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,1,1,2,4,5,2,2,2,4,3,4,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,5,2,2,5,3,3,1,4,2,4,4,4,4,4,2,4,3,4,4,5,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,34,29,32,28,22,14,6,8,10,10,15,10,12,9,12,1,6,12,9,10,0,0,18.75,43.75,62.5,0,0,0,90.625,35,0,1,0,0,0,18,8,14,12,5,17,12,4,9,18
1,2,1,1,1,4,4,4,4,1,1,4,4,1,4,4,1,4,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,1,1,1,1,4,1,1,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,5,5,4,4,2,2,5,5,4,3,4,4,4,4,5,4,4,4,5,5,5,5,2,5,5,5,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,42,27,28,32,30,12,9,8,10,7,15,13,13,10,16,4,8,13,13,14,3.571428571,56.25,28.125,9.375,0,0,0,10.71428571,93.75,31,1,1,0,1,1,15,8,14,8,6,17,14,8,13,20
3,2,2,2,2,2,3,4,3,2,2,3,4,2,4,4,1,5,4,1,3,2,4,2,4,2,4,3,4,3,4,2,3,3,1,1,1,1,1,3,1,1,1,1,1,3,4,5,5,3,3,2,2,5,2,3,2,5,2,2,2,1,4,2,2,4,4,2,2,3,2,1,4,4,3,3,4,2,4,2,5,5,3,3,1,1,1,4,2,3,4,4,4,2,4,2,2,4,4,4,4,4,4,2,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,24,15,40,33,27,7,3,5,13,13,18,12,13,12,16,2,5,10,7,5,28.57142857,46.875,56.25,43.75,54.16666667,7.142857143,14.28571429,64.28571429,59.375,28,0,0,1,1,1,8,5,18,14,8,17,16,4,7,13
1,1,1,3,3,1,1,3,2,3,1,1,1,4,4,4,3,4,2,3,3,2,2,1,1,4,1,3,3,1,3,1,2,1,1,2,1,3,4,4,4,1,3,1,1,1,4,4,1,3,4,4,3,4,2,4,2,4,3,4,2,2,3,4,2,4,4,4,3,2,2,1,3,4,4,2,4,3,4,3,4,4,2,2,2,2,4,4,2,2,4,4,2,2,4,2,2,4,4,4,2,2,4,2,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,27,16,33,27,29,8,4,4,10,13,14,11,12,8,15,4,6,10,8,7,21.42857143,15.625,65.625,28.125,29.16666667,32.14285714,28.57142857,60.71428571,50,24,0,0,1,0,1,10,4,14,13,5,17,15,6,8,14
1,3,2,2,1,4,3,5,1,3,1,2,2,3,3,3,1,5,1,2,2,5,1,1,2,1,4,2,2,3,5,3,5,4,2,3,2,2,1,1,1,1,1,3,1,1,3,3,4,1,1,1,2,5,4,3,1,4,3,4,1,1,3,2,2,5,3,4,4,4,2,1,4,4,2,3,4,5,5,4,5,1,5,3,2,1,4,2,1,1,4,4,4,2,5,2,1,4,4,5,5,4,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,23,13,33,26,25,6,3,5,9,14,14,10,12,9,15,2,4,11,3,8,17.85714286,40.625,53.125,31.25,58.33333333,39.28571429,7.142857143,32.14285714,43.75,34,0,0,1,0,1,6,5,10,14,3,16,15,3,3,14
1,2,1,2,2,1,1,3,1,4,1,3,1,1,1,1,1,2,1,3,2,2,3,1,2,1,1,4,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,5,2,3,4,2,5,1,4,2,5,3,5,5,5,1,4,2,5,3,5,1,2,5,4,5,2,1,5,5,2,5,1,5,2,4,5,5,5,2,1,5,2,4,4,5,4,4,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,40,29,42,38,15,12,10,8,13,14,19,15,16,12,7,1,6,14,11,14,10.71428571,21.875,6.25,21.875,16.66666667,3.571428571,3.571428571,0,81.25,36,1,1,1,1,0,19,8,18,14,8,20,6,2,11,20
1,2,2,2,2,4,4,4,4,2,2,4,4,3,2,3,4,1,2,3,3,1,1,2,1,2,3,3,2,3,3,3,2,3,3,2,2,4,2,3,3,3,3,4,2,4,1,1,1,1,1,1,4,3,1,1,2,5,1,3,5,2,4,1,4,1,5,5,4,5,5,1,5,5,5,5,5,1,1,5,1,5,4,5,5,5,2,5,3,5,5,5,4,4,5,5,3,3,4,5,1,4,4,4,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,44,36,40,31,19,16,9,10,14,13,18,13,13,10,12,1,4,15,14,14,25,62.5,37.5,25,41.66666667,42.85714286,53.57142857,0,81.25,18,1,1,1,1,0,21,10,19,14,6,17,9,4,14,21
3,4,4,2,4,1,1,4,3,3,2,4,4,2,3,3,1,3,1,1,1,2,5,1,3,4,1,5,1,4,4,1,3,1,1,3,1,1,1,2,1,1,1,1,1,1,4,4,4,1,4,1,3,4,1,3,4,4,5,5,2,1,4,4,4,4,5,5,2,4,2,1,5,5,3,4,5,3,5,4,4,5,5,1,3,1,1,3,3,4,5,5,3,3,3,2,3,2,5,5,4,2,5,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,33,16,40,23,34,7,4,6,15,13,17,8,8,10,19,4,8,12,7,11,53.57142857,43.75,34.375,31.25,50,21.42857143,3.571428571,53.57142857,40.625,25,0,0,1,0,1,8,6,20,15,4,12,17,7,7,18
3,3,3,3,2,1,1,3,1,3,1,4,3,4,3,4,3,4,4,4,4,4,3,4,4,4,4,3,2,2,2,2,2,1,1,2,4,4,4,3,3,2,4,3,2,4,2,2,2,3,3,3,3,4,3,2,4,4,3,3,4,1,5,1,4,2,4,2,4,3,4,1,4,4,4,4,4,2,3,4,4,4,2,4,4,4,3,4,3,4,4,5,4,4,4,3,2,4,3,3,2,4,2,4,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,36,27,38,37,20,11,8,8,12,14,17,12,16,13,12,1,5,10,12,12,50,28.125,68.75,71.875,29.16666667,42.85714286,50,35.71428571,50,40,1,1,1,1,0,16,8,16,14,8,20,10,4,12,16
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,2,2,4,2,4,2,3,2,4,4,4,4,4,2,5,4,4,4,4,2,3,4,4,4,2,4,4,4,4,4,2,4,4,4,4,3,4,4,4,4,2,4,4,4,2,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,33,28,32,35,20,12,7,8,10,10,16,12,16,11,11,2,4,12,8,11,25,25,25,25,0,3.571428571,0,25,50,34,0,1,0,1,0,16,8,14,12,6,21,10,4,8,18
